nematoda	Caenorhabditis briggsae	0	0	0	{}
nematoda	Caenorhabditis elegans	0	0	0	{}
nematoda	Brugia malayi	0	0	0	{}
hexapoda	Aedes aegypti	0	0	0	{}
hexapoda	Aedes albopictus	0	0	0	{}
hexapoda	Anopheles gambiae str. PEST	0	0	0	{}
hexapoda	Drosophila melanogaster	0	0	0	{}
tunicata	Ciona intestinalis	0	0	0	{}
hexapoda	Apis mellifera	0	0	0	{}
actinopterygii	Danio rerio	0	0	0	{}
eutheria	Homo sapiens	0	0	0	{}
eutheria	Mus musculus	0	0	0	{}
actinopterygii	Takifugu rubripes	0	0	0	{}
